distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
100.0,one-repeater,Barrett-Kok,,25.0,0.32098411714875263,0.05151540173088208,1.0,28.860895956091426,28.9418,2.8860895956091427e-05,2.89418e-05
100.0,direct,Single-click,0.05,50.0,0.10303080346176416,0.010276541980021476,0.95,97.30899770993882,97.5802,9.730899770993882e-05,9.758020000000001e-05
100.0,one-repeater,Single-click,0.05,25.0,0.32098411714875263,0.03184083470622085,0.9033333333333332,46.855273268167366,47.01655,4.685527326816736e-05,4.701655e-05
100.0,direct,Single-click,0.1,50.0,0.10303080346176416,0.020500007227733066,0.9,48.78047060623315,48.71305,4.878047060623315e-05,4.871305e-05
100.0,one-repeater,Single-click,0.1,25.0,0.32098411714875263,0.06316651539513289,0.8133333333333334,23.488605392780258,23.5724,2.3488605392780258e-05,2.3572399999999998e-05
100.0,direct,Single-click,0.2,50.0,0.10303080346176416,0.040787707526226596,0.8,24.51719061084758,24.3219,2.451719061084758e-05,2.43219e-05
100.0,one-repeater,Single-click,0.2,25.0,0.32098411714875263,0.12427241472103048,0.6533333333333334,11.80369390320606,11.8317,1.1803693903206061e-05,1.1831699999999999e-05
110.0,direct,Barrett-Kok,,55.0,0.0820849986238988,0.003368973499542734,1.0,296.8263182051532,294.95855,0.0002968263182051532,0.00029495855000000003
110.0,one-repeater,Barrett-Kok,,27.5,0.2865047968601901,0.04104249931194939,1.0,36.29224408352398,36.376,3.6292244083523986e-05,3.6376e-05
110.0,direct,Single-click,0.05,55.0,0.0820849986238988,0.008191654994892167,0.95,122.07545369324527,123.0051,0.00012207545369324527,0.00012300509999999999
110.0,one-repeater,Single-click,0.05,27.5,0.2865047968601901,0.028445267189459264,0.9033333333333332,52.479242763010326,52.7223,5.247924276301033e-05,5.2722299999999995e-05
110.0,direct,Single-click,0.1,55.0,0.0820849986238988,0.016349620254788907,0.9,61.16350009457214,60.9286,6.116350009457214e-05,6.0928600000000005e-05
110.0,one-repeater,Single-click,0.1,27.5,0.2865047968601901,0.05648010938579904,0.8133333333333334,26.30075703617326,26.1439,2.630075703617326e-05,2.61439e-05
110.0,direct,Single-click,0.2,55.0,0.0820849986238988,0.032564481569596106,0.8,30.708304011007257,31.0372,3.070830401100726e-05,3.10372e-05
110.0,one-repeater,Single-click,0.2,27.5,0.2865047968601901,0.1113185187991201,0.6533333333333334,13.210111967061337,13.1701,1.3210111967061337e-05,1.31701e-05
120.0,direct,Barrett-Kok,,60.0,0.06539740322986021,0.0021384101746044653,1.0,467.63713148950325,465.0327,0.00046763713148950323,0.00046503269999999996
120.0,one-repeater,Barrett-Kok,,30.0,0.25572915991310063,0.0326987016149301,1.0,45.61922580618152,45.70045,4.561922580618152e-05,4.570045e-05
120.0,direct,Single-click,0.05,60.0,0.06539740322986021,0.006529048272112999,0.95,153.16167966948873,152.401,0.00015316167966948873,0.000152401
120.0,one-repeater,Single-click,0.05,30.0,0.25572915991310063,0.025409422483235414,0.9033333333333332,58.780001867214324,58.67465,5.8780001867214326e-05,5.867465e-05
120.0,direct,Single-click,0.1,60.0,0.06539740322986021,0.013036712442479953,0.9,76.70645528250768,77.45105,7.670645528250768e-05,7.745104999999999e-05
120.0,one-repeater,Single-click,0.1,30.0,0.25572915991310063,0.050491857950321524,0.8133333333333334,29.451285092424783,29.3029,2.9451285092424782e-05,2.93029e-05
120.0,direct,Single-click,0.2,60.0,0.06539740322986021,0.02598788847797573,0.8,38.4794632641079,38.90105,3.84794632641079e-05,3.8901049999999996e-05
120.0,one-repeater,Single-click,0.2,30.0,0.25572915991310063,0.09967576783604584,0.6533333333333334,14.785680032384334,14.7648,1.4785680032384335e-05,1.47648e-05
130.0,direct,Barrett-Kok,,65.0,0.052102338075251484,0.0013573268164539002,1.0,736.7422406142107,737.02335,0.0007367422406142107,0.0007370233500000001
130.0,one-repeater,Barrett-Kok,,32.5,0.2282593657996348,0.026051169037625742,1.0,57.32569056981625,57.2318,5.732569056981625e-05,5.7231799999999996e-05
130.0,direct,Single-click,0.05,65.0,0.052102338075251484,0.00520344717344288,0.95,192.18029253833018,194.7968,0.00019218029253833017,0.00019479679999999998
130.0,one-repeater,Single-click,0.05,32.5,0.2282593657996348,0.022695680734775354,0.9033333333333332,65.83900132809428,65.55655,6.583900132809428e-05,6.555655e-05
130.0,direct,Single-click,0.1,65.0,0.052102338075251484,0.01039332107872122,0.9,96.21563621731569,95.4826,9.621563621731569e-05,9.54826e-05
130.0,one-repeater,Single-click,0.1,32.5,0.2282593657996348,0.04513084977917445,0.8133333333333334,32.9809169972297,32.75695,3.2980916997229695e-05,3.275695e-05
130.0,direct,Single-click,0.2,65.0,0.052102338075251484,0.020732349084784284,0.8,48.233800999130956,47.76815,4.823380099913096e-05,4.776815e-05
130.0,one-repeater,Single-click,0.2,32.5,0.2282593657996348,0.08921965279684387,0.6533333333333334,16.550766137628294,16.465,1.6550766137628293e-05,1.6465e-05
140.0,direct,Barrett-Kok,,70.0,0.04151011353411509,0.0008615447628075622,1.0,1160.7057963433567,1165.3439,0.0011607057963433566,0.0011653439
140.0,one-repeater,Barrett-Kok,,35.0,0.2037403090557072,0.020755056767057543,1.0,72.01892249118075,71.7843,7.201892249118075e-05,7.17843e-05
140.0,direct,Single-click,0.05,70.0,0.04151011353411509,0.004146703629597471,0.95,241.155406637313,239.31855,0.00024115540663731302,0.00023931855
140.0,one-repeater,Single-click,0.05,35.0,0.2037403090557072,0.02027025562173543,0.9033333333333332,73.74749375186286,74.08865,7.374749375186287e-05,7.408865e-05
140.0,direct,Single-click,0.1,70.0,0.04151011353411509,0.008284791811566867,0.9,120.70309342038546,121.5495,0.00012070309342038545,0.00012154949999999999
140.0,one-repeater,Single-click,0.1,35.0,0.2037403090557072,0.04033296067580029,0.8133333333333334,36.93528087907316,36.7787,3.693528087907316e-05,3.67787e-05
140.0,direct,Single-click,0.2,70.0,0.04151011353411509,0.01653512183262143,0.8,60.47732881091587,60.3376,6.047732881091587e-05,6.03376e-05
